 , , , 
(a+b)*(c+d),--->,(i+i)*(i+i), 
步骤, 符号栈,输入串,备注
0,#E,(i+i)*(i+i)#, 
1,#AT,(i+i)*(i+i)#,E -> TA
2,#ABF,(i+i)*(i+i)#,T -> FB
3,#AB)E(,(i+i)*(i+i)#,F -> (E)
4,#AB)E,i+i)*(i+i)#, 
5,#AB)AT,i+i)*(i+i)#,E -> TA
6,#AB)ABF,i+i)*(i+i)#,T -> FB
7,#AB)ABi,i+i)*(i+i)#,F -> i
8,#AB)AB,+i)*(i+i)#, 
9,#AB)A,+i)*(i+i)#,B -> @
10,#AB)AT+,+i)*(i+i)#,A -> +TA
11,#AB)AT,i)*(i+i)#, 
12,#AB)ABF,i)*(i+i)#,T -> FB
13,#AB)ABi,i)*(i+i)#,F -> i
14,#AB)AB,)*(i+i)#, 
15,#AB)A,)*(i+i)#,B -> @
16,#AB),)*(i+i)#,A -> @
17,#AB,*(i+i)#, 
18,#ABF*,*(i+i)#,B -> *FB
19,#ABF,(i+i)#, 
20,#AB)E(,(i+i)#,F -> (E)
21,#AB)E,i+i)#, 
22,#AB)AT,i+i)#,E -> TA
23,#AB)ABF,i+i)#,T -> FB
24,#AB)ABi,i+i)#,F -> i
25,#AB)AB,+i)#, 
26,#AB)A,+i)#,B -> @
27,#AB)AT+,+i)#,A -> +TA
28,#AB)AT,i)#, 
29,#AB)ABF,i)#,T -> FB
30,#AB)ABi,i)#,F -> i
31,#AB)AB,)#, 
32,#AB)A,)#,B -> @
33,#AB),)#,A -> @
34,#AB,#, 
35,#A,#,B -> @
36,#,#,A -> @
 , , , 
((ab3+de4)**5)+1,--->,((i+i)**i)+i, 
步骤, 符号栈,输入串,备注
0,#E,((i+i)**i)+i#, 
1,#AT,((i+i)**i)+i#,E -> TA
2,#ABF,((i+i)**i)+i#,T -> FB
3,#AB)E(,((i+i)**i)+i#,F -> (E)
4,#AB)E,(i+i)**i)+i#, 
5,#AB)AT,(i+i)**i)+i#,E -> TA
6,#AB)ABF,(i+i)**i)+i#,T -> FB
7,#AB)AB)E(,(i+i)**i)+i#,F -> (E)
8,#AB)AB)E,i+i)**i)+i#, 
9,#AB)AB)AT,i+i)**i)+i#,E -> TA
10,#AB)AB)ABF,i+i)**i)+i#,T -> FB
11,#AB)AB)ABi,i+i)**i)+i#,F -> i
12,#AB)AB)AB,+i)**i)+i#, 
13,#AB)AB)A,+i)**i)+i#,B -> @
14,#AB)AB)AT+,+i)**i)+i#,A -> +TA
15,#AB)AB)AT,i)**i)+i#, 
16,#AB)AB)ABF,i)**i)+i#,T -> FB
17,#AB)AB)ABi,i)**i)+i#,F -> i
18,#AB)AB)AB,)**i)+i#, 
19,#AB)AB)A,)**i)+i#,B -> @
20,#AB)AB),)**i)+i#,A -> @
21,#AB)AB,**i)+i#, 
22,#AB)ABF*,**i)+i#,B -> *FB
23,#AB)ABF,*i)+i#, 
 , , , 
